,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,nomatch_score,match_score,alteredAttributes,droppedValues,copiedValues,triangle,attr_count
0,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t 4 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,139.0,panasonic,"1 x phone line ( s ) black , metallic",nan,0.39145327,0.6085468,"('rtable_name',)",['panasonic kx-tg9342t cordless phone'],['panasonic'],1@16041 0@643 1@636,2
28,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t 4 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,nan,panasonic kx-tg9342t cordless phone,"1 x phone line ( s ) black , metallic",nan,0.39181235,0.6081876,"('ltable_price',)",[139.0],[nan],0@13270 1@636 0@643,2
1,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t 4 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,139.0,panasonic kx-tg9342t cordless phone,"1 x phone line ( s ) black , metallic",102.12,0.39033386,0.60966617,"('rtable_price',)",[nan],[102.12],1@16041 0@643 1@636,2
2,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t 4 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,139.0,6.0 cordless phone kx-tg1034s,"1 x phone line ( s ) black , metallic",nan,0.37484354,0.62515646,"('rtable_name',)",['panasonic kx-tg9342t cordless phone'],['6.0 cordless phone kx-tg1034s'],1@7332 0@643 1@636,2
4,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t 4 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,139.0,panasonic kx-tg9342t cordless phone,"1 x phone line ( s ) black , metallic",89.45,0.39043418,0.6095658,"('rtable_price',)",[nan],[89.45],1@7332 0@643 1@636,2
5,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t 4 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,139.0,panasonic kx-tg9333t cordless phone,"1 x phone line ( s ) black , metallic",nan,0.39040473,0.60959524,"('rtable_name',)",['panasonic kx-tg9342t cordless phone'],['panasonic kx-tg9333t cordless phone'],1@16149 0@643 1@636,2
7,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t 4 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,139.0,panasonic kx-tg9342t cordless phone,"1 x phone line ( s ) black , metallic",nan,0.39064637,0.6093536,"('rtable_price',)",[nan],[nan],1@16149 0@643 1@636,2
8,panasonic kx-tg4500b black 5.8 ghz cordless phone system kxtg4500b,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t 4 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,139.0,panasonic kx-tg9342t cordless phone,"1 x phone line ( s ) black , metallic",nan,0.3950286,0.6049714,"('ltable_name',)",['panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t'],['panasonic kx-tg4500b black 5.8 ghz cordless phone system kxtg4500b'],0@13311 1@636 0@643,2
17,panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t 4 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,139.0,panasonic kx-tg9342t cordless phone,"1 x phone line ( s ) black , metallic",nan,0.38900703,0.61099297,"('ltable_name',)",['panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t'],['panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t'],0@63577 1@636 0@643,2
20,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t 4 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,139.0,phone kx-tg9333t,"1 x phone line ( s ) black , metallic",nan,0.3526949,0.6473051,"('rtable_name',)",['panasonic kx-tg9342t cordless phone'],['phone kx-tg9333t'],1@16146 0@643 1@636,2
23,panasonic dect 6.0 black metallic expandable digital cordless phone system kxtg9332t,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t 4 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,139.0,panasonic kx-tg9342t cordless phone,"1 x phone line ( s ) black , metallic",nan,0.39376926,0.6062308,"('ltable_name',)",['panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t'],['panasonic dect 6.0 black metallic expandable digital cordless phone system kxtg9332t'],0@54212 1@636 0@643,2
